Date,Time,Open,High,Low,Close,Value
2022.06.10,04:00,1.24989,1.25010,1.24785,1.24960,9408
2022.06.10,08:00,1.24960,1.25178,1.24692,1.24824,20857
2022.06.10,12:00,1.24824,1.24844,1.23826,1.23833,27441
2022.06.10,16:00,1.23833,1.24144,1.23098,1.23112,34072
2022.06.10,20:00,1.23113,1.23230,1.23012,1.23103,15203
2022.06.13,00:00,1.23144,1.23195,1.22704,1.22755,10567
2022.06.13,04:00,1.22754,1.22922,1.22617,1.22860,19460
2022.06.13,08:00,1.22860,1.23003,1.22126,1.22195,29145
2022.06.13,12:00,1.22194,1.22228,1.21616,1.21952,31219
2022.06.13,16:00,1.21951,1.22006,1.21236,1.21735,36280
2022.06.13,20:00,1.21735,1.21868,1.21063,1.21328,29144
2022.06.14,00:00,1.21282,1.21609,1.21206,1.21550,11617
2022.06.14,04:00,1.21549,1.21957,1.21336,1.21762,23748
2022.06.14,08:00,1.21762,1.22079,1.21494,1.21523,30211
2022.06.14,12:00,1.21519,1.21591,1.20623,1.20769,35080
2022.06.14,16:00,1.20769,1.20839,1.19891,1.19946,45290
2022.06.14,20:00,1.19946,1.20313,1.19335,1.19960,24369
2022.06.15,00:00,1.19950,1.20182,1.19873,1.20182,11572
2022.06.15,04:00,1.20182,1.20414,1.19986,1.20017,18573
2022.06.15,08:00,1.20017,1.20896,1.19891,1.20885,36028
2022.06.15,12:00,1.20885,1.21252,1.20585,1.20640,37157
2022.06.15,16:00,1.20641,1.20975,1.20462,1.20645,33944
2022.06.15,20:00,1.20645,1.22047,1.20276,1.21785,53771
2022.06.16,00:00,1.21783,1.21888,1.21578,1.21774,9468
2022.06.16,04:00,1.21774,1.21861,1.21411,1.21464,16158
2022.06.16,08:00,1.21464,1.21546,1.20580,1.21282,33645
2022.06.16,12:00,1.21284,1.22470,1.20411,1.22210,47866
2022.06.16,16:00,1.22208,1.24061,1.22208,1.23802,44775
2022.06.16,20:00,1.23804,1.23981,1.23446,1.23491,29434
2022.06.17,00:00,1.23470,1.23666,1.23189,1.23244,14349
2022.06.17,04:00,1.23244,1.23311,1.22853,1.23051,22097
2022.06.17,08:00,1.23052,1.23429,1.22522,1.23161,31276
2022.06.17,12:00,1.23160,1.23351,1.22523,1.22672,29450
2022.06.17,16:00,1.22672,1.22682,1.21723,1.21887,40257
2022.06.17,20:00,1.21883,1.22318,1.21868,1.22173,17920
2022.06.20,00:00,1.22096,1.22311,1.22054,1.22232,11425
2022.06.20,04:00,1.22232,1.22537,1.21985,1.22357,16778
2022.06.20,08:00,1.22356,1.22530,1.22180,1.22461,24709
2022.06.20,12:00,1.22468,1.22803,1.22335,1.22628,20022
2022.06.20,16:00,1.22627,1.22627,1.22258,1.22544,19058
2022.06.20,20:00,1.22543,1.22598,1.22311,1.22508,4802
2022.06.21,00:00,1.22480,1.22713,1.22344,1.22700,9389
2022.06.21,04:00,1.22700,1.22836,1.22619,1.22648,11576
2022.06.21,08:00,1.22648,1.23241,1.22448,1.23094,21587
2022.06.21,12:00,1.23093,1.23182,1.22512,1.22667,23570
2022.06.21,16:00,1.22669,1.22947,1.22487,1.22718,27847
2022.06.21,20:00,1.22718,1.22821,1.22615,1.22788,11968
2022.06.22,00:00,1.22776,1.22800,1.22428,1.22453,9758
2022.06.22,04:00,1.22453,1.22595,1.22284,1.22331,17907
2022.06.22,08:00,1.22331,1.22431,1.21612,1.22178,25524
2022.06.22,12:00,1.22178,1.22724,1.22144,1.22535,26574
2022.06.22,16:00,1.22537,1.23147,1.22477,1.22658,36475
2022.06.22,20:00,1.22657,1.22876,1.22567,1.22619,13890
2022.06.23,00:00,1.22582,1.22662,1.22416,1.22605,7430
2022.06.23,04:00,1.22605,1.22645,1.22306,1.22548,19277
2022.06.23,08:00,1.22547,1.22634,1.21697,1.21996,28242
2022.06.23,12:00,1.21996,1.22586,1.21941,1.22442,26123
2022.06.23,16:00,1.22442,1.22948,1.22210,1.22286,41005
2022.06.23,20:00,1.22287,1.22726,1.22199,1.22612,15131
2022.06.24,00:00,1.22595,1.22707,1.22401,1.22497,11495
2022.06.24,04:00,1.22497,1.22850,1.22454,1.22797,10819
2022.06.24,08:00,1.22790,1.22845,1.22432,1.22755,19518
2022.06.24,12:00,1.22755,1.23095,1.22619,1.22834,22888
